host_since,host_is_superhost,host_total_listings_count,host_verifications,host_identity_verified,latitude,longitude,accommodates,bathrooms_text,amenities,price,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month,Bijlmer-Centrum,Bijlmer-Oost,Bos en Lommer,Buitenveldert - Zuidas,Centrum-Oost,Centrum-West,De Aker - Nieuw Sloten,De Baarsjes - Oud-West,De Pijp - Rivierenbuurt,Gaasperdam - Driemond,Geuzenveld - Slotermeer,IJburg - Zeeburgereiland,Noord-Oost,Noord-West,Oostelijk Havengebied - Indische Buurt,Osdorp,Oud-Noord,Oud-Oost,Slotervaart,Watergraafsmeer,Westerpark,Zuid,Entire home/apt,Hotel room,Private room,Shared room
2012,0,1,10,1,52.37281,4.94303,4,2.0,38,185.0,4,34,4.55,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2015,1,2,6,1,52.35987,4.90623,2,1.0,12,100.0,2,259,4.81,0,3.46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,0,1,2,1,52.341621,4.849049,4,1.0,49,200.0,3,111,4.87,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2012,0,0,8,1,52.36782,4.92389,3,1.0,8,72.0,2,4,5.0,1,3.53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017,0,1,6,1,52.37556,4.96829,4,1.0,29,90.0,3,124,4.74,0,2.21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,1,0,5,1,52.34434,4.79201,2,1.0,12,89.0,2,4,4.0,1,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012,0,1,3,0,52.35415,4.85285,2,1.0,14,114.0,8,1,5.0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2013,0,1,5,1,52.3967,4.93892,4,1.5,30,120.0,5,3,5.0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,0,1,3,1,52.36364,4.90814,2,1.5,29,156.0,2,5,5.0,1,0.17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2019,0,0,2,1,52.36757,4.87583,2,1.5,26,208.0,2,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2011,0,2,6,0,52.39038,4.88191,2,1.0,13,35.0,4,2,5.0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2014,0,1,9,1,52.40679,4.91361,2,1.0,12,62.0,2,331,4.69,1,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2014,1,1,8,1,52.3593,4.85298,2,1.5,23,115.0,2,28,4.93,0,0.56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020,0,1,1,0,52.3762,4.84616,2,1.0,17,70.0,6,5,5.0,0,0.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012,0,3,9,1,52.37847,4.88475,2,1.5,27,175.0,2,70,4.82,0,0.76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015,0,1,3,0,52.32061,4.94373,4,1.0,28,99.0,7,3,4.33,1,0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020,0,6,2,1,52.38461,4.83364,4,1.0,17,144.0,1,31,4.9,1,1.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,1,2,9,1,52.36832,4.90935,2,1.0,21,130.0,2,70,4.94,1,1.09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,0,1,8,1,52.36198,4.90903,3,1.0,12,109.0,3,7,5.0,0,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021,0,6,2,1,52.35031,4.91938,4,1.0,13,176.0,2,9,4.78,1,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2012,0,1,8,1,52.37142,4.89036,4,1.0,26,399.0,2,52,4.65,0,0.48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,1,1,5,0,52.417,4.89459,2,1.0,16,120.0,2,58,4.58,1,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2014,0,1,4,0,52.34373,4.86065,4,1.0,45,145.0,3,9,5.0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2020,0,1,2,0,52.31585,4.93888,4,1.0,19,135.0,2,6,5.0,0,0.42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020,1,8,3,1,52.35223,4.90642,2,1.0,22,309.0,1,1,5.0,1,0.08,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019,0,10,1,1,52.37392,4.89635,1,1.0,17,22.0,1,170,4.54,1,5.99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018,1,3,9,1,52.371,4.88703,2,1.0,32,126.0,2,4,4.25,1,1.67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,0,1,5,0,52.354,4.99103,4,1.5,58,195.0,4,10,4.7,0,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015,0,0,9,1,52.4006,4.91977,2,1.0,38,45.0,1,73,4.77,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2015,1,1,8,1,52.36214,4.87618,2,1.5,10,79.0,3,126,4.64,0,2.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,0,1,3,0,52.3572,4.78946,4,1.5,23,48.0,1,16,4.75,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2015,1,1,8,1,52.37468,4.87818,4,2.0,25,224.0,2,119,4.77,1,3.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2011,0,1,7,1,52.3567,4.85639,1,1.5,37,79.0,2,173,4.82,1,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2013,1,1,5,0,52.34649,4.8608,2,1.5,34,109.0,3,140,4.95,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2014,1,1,5,1,52.36343,4.88538,4,1.0,37,263.0,2,23,4.96,1,0.91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019,0,1,7,1,52.36559,4.87184,4,1.5,54,306.0,1,13,4.77,0,0.42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2014,0,1,4,1,52.3606,4.85591,2,1.0,15,112.0,4,11,5.0,0,0.15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015,0,0,3,0,52.29125,4.97029,4,1.0,16,115.0,4,3,5.0,1,0.75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020,0,0,7,1,52.39483,4.90844,4,1.0,8,250.0,1,0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2018,1,20,2,1,52.38333,4.89335,2,1.0,20,176.0,2,26,4.85,1,0.96,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,0,2,7,1,52.3758,4.85221,4,1.0,30,180.0,3,23,4.96,0,0.54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015,1,1,5,0,52.3561,4.8705,2,1.0,21,115.0,3,114,4.94,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2014,1,5,5,0,52.34778,4.78807,1,1.0,20,125.0,1,10,5.0,0,0.23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,1,1,4,1,52.371,4.88731,2,1.5,31,105.0,3,340,4.89,0,3.79,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021,0,0,2,1,52.38029,4.89297,4,1.0,17,115.0,2,0,0.0,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,0,3,5,1,52.29132,4.96829,2,2.0,25,66.0,3,71,4.34,1,1.38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,0,1,4,1,52.42274,4.89505,2,1.0,33,95.0,2,1,5.0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2013,0,1,6,1,52.35387,4.92996,4,1.5,25,195.0,3,6,5.0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2014,0,3,5,1,52.29307,4.96851,2,1.0,23,59.0,3,87,4.25,1,1.74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,0,1,7,1,52.3624,4.8935,4,2.0,51,185.0,3,36,4.69,0,0.47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2018,1,2,5,1,52.38748,4.8882,2,1.0,28,115.0,3,20,5.0,1,0.59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,0,1,8,1,52.35584,4.82096,2,1.0,26,120.0,2,8,5.0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2013,0,1,4,1,52.38295,4.9152,4,1.5,32,159.0,3,58,4.82,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2011,1,1,4,1,52.3598,4.93642,4,1.5,45,199.0,2,38,4.84,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2014,0,21,4,1,52.36698,4.85857,4,1.0,14,117.0,1,19,4.32,1,1.84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,0,21,4,1,52.36541,4.8592,2,0.0,10,68.0,1,12,4.75,1,4.14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019,0,1,5,1,52.3454,4.86011,2,1.0,45,175.0,3,2,5.0,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2013,0,0,2,0,52.37389,4.87324,4,2.0,12,107.0,7,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2015,0,0,4,1,52.37125,4.84865,4,1.5,48,191.0,3,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,0,1,4,1,52.34759,4.86044,4,1.0,61,300.0,5,12,5.0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2016,0,1,3,0,52.39712,4.9321,4,1.0,35,200.0,3,14,4.93,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2019,0,1,2,0,52.40319,4.91458,2,1.0,16,91.0,1,15,4.86,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2016,0,0,8,1,52.35797,4.89625,4,1.5,52,264.0,4,4,5.0,0,1.43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017,1,2,6,0,52.37585,4.89886,2,1.0,15,96.0,3,96,4.83,1,2.01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021,0,0,1,1,52.36015,4.928,4,1.5,5,195.0,7,0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2011,0,1,5,1,52.37611,4.82074,5,1.0,17,85.0,2,1,5.0,0,0.26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,0,2,6,1,52.36472,4.87417,4,1.5,24,189.0,3,28,4.89,0,0.67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015,0,0,7,1,52.37869,4.88411,4,1.5,46,349.0,2,1,5.0,0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2019,1,1,7,1,52.36513,4.88787,2,1.0,14,150.0,2,27,4.96,0,0.87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,1,2,4,1,52.40049,4.90431,2,1.0,33,150.0,4,8,5.0,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2014,0,1,5,0,52.35666,4.89785,3,1.0,20,200.0,3,14,4.86,0,0.48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015,1,3,7,1,52.3687,4.86041,2,1.0,15,99.0,2,21,5.0,0,0.64,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014,0,2,6,1,52.36112,4.82521,2,1.0,30,40.0,2,222,4.62,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2015,0,1,4,1,52.35634,4.99094,8,2.0,18,300.0,3,9,5.0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,0,3,5,1,52.38615,4.88741,4,1.0,20,275.0,3,16,4.88,0,0.98,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,0,3,9,1,52.38669,4.91925,2,1.0,21,85.0,2,119,4.67,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2016,0,1,6,1,52.35407,4.88411,2,1.0,17,195.0,2,4,5.0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2016,0,0,2,0,52.36382,4.87341,4,2.0,38,180.0,3,3,5.0,0,0.78,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,0,2,6,1,52.38101,4.87982,2,1.0,22,114.0,3,114,4.67,1,1.89,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,0,1,3,1,52.372,4.85019,2,1.0,24,135.0,4,7,4.57,0,0.17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2013,0,1,5,0,52.41568,4.89192,4,1.5,23,110.0,3,11,5.0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2011,0,1,5,0,52.36382,4.94345,2,1.0,14,79.0,1,124,4.8,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2015,0,0,5,1,52.38138,4.8711,2,1.5,28,120.0,3,9,4.78,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
