latitude,longitude,host_since,amenities,reviews_per_month,number_of_reviews,host_verifications,host_total_listings_count,accommodates,review_scores_rating,minimum_nights,bathrooms_text,host_is_superhost,price
52.37628,4.93929,2017,27,0.19,4,3,1,2,4.5,1,1.0,0,323.0
52.3881,4.91438,2019,6,0.0,0,2,0,2,0.0,1,1.0,0,68.0
52.36099,4.85987,2014,17,0.34,30,6,1,2,4.57,6,1.0,0,90.0
52.33474,4.84842,2017,34,1.24,22,8,0,4,4.86,2,1.5,1,98.0
52.36806,4.86094,2012,20,0.85,42,6,1,1,4.81,30,1.0,0,43.0
52.36744,4.86654,2016,16,3.3,167,8,1,4,4.83,2,1.0,1,129.0
52.35241,4.89325,2018,52,0.6,16,6,2,4,4.88,2,1.5,0,150.0
52.38351,4.88487,2016,28,0.97,57,6,1,3,5.0,4,1.0,1,194.0
52.35682,4.89633,2015,26,0.7,37,4,3,4,4.73,7,1.5,0,150.0
52.37426,4.89926,2016,15,2.92,170,8,16,2,4.8,1,0.5,1,117.0
52.36425,4.93857,2015,17,1.33,42,8,1,2,4.52,2,1.0,0,71.0
52.34299,4.95102,2015,22,0.41,27,4,1,4,4.89,3,1.5,0,230.0
52.35683,4.90425,2016,25,0.5,8,8,0,2,5.0,3,1.5,0,135.0
52.37254,4.90382,2015,24,3.92,277,8,1,2,4.93,2,1.0,1,100.0
52.34649,4.8608,2013,34,2.48,140,5,1,2,4.95,3,1.5,1,109.0
52.36452,4.90949,2013,41,0.65,61,5,2,5,4.85,1,2.0,0,522.0
52.3722,4.89926,2021,7,1.7,8,2,0,2,4.38,2,1.0,0,64.0
52.39139,4.88062,2013,45,0.4,12,7,1,2,5.0,3,1.0,0,175.0
52.3762,4.8861,2014,22,0.14,4,8,0,4,5.0,4,1.0,0,275.0
52.366253,4.934817,2019,23,3.36,83,7,0,2,4.63,1,1.0,0,49.0
52.42274,4.89505,2015,33,0.86,1,4,1,2,5.0,2,1.0,0,95.0
52.39968,4.8993,2013,20,1.04,73,7,1,14,4.81,2,2.0,0,487.0
52.36256,4.88782,2015,6,0.0,0,2,1,2,0.0,5,1.0,0,125.0
52.41404,4.88458,2015,31,0.57,37,3,2,4,4.86,2,2.5,0,77.0
52.37095,4.90958,2018,27,0.56,19,2,5,4,4.32,1,1.0,0,203.0
52.36628,4.86292,2011,29,0.31,9,7,2,5,5.0,5,1.5,0,180.0
52.35411,4.85054,2015,30,0.23,10,8,1,4,4.8,2,1.5,0,125.0
52.343079,4.788886,2013,57,4.23,448,8,1,2,4.91,2,1.0,1,137.0
52.37688,4.8934,2019,11,0.24,5,7,17,2,4.4,1,1.0,0,48.0
52.35831,4.80335,2021,20,95.89,521,2,0,2,4.6,1,1.0,0,63.0
52.37248,4.90522,2020,25,0.14,2,7,0,2,5.0,1,1.0,1,164.0
52.36485,4.87546,2016,20,0.94,59,4,2,4,4.86,6,1.0,0,170.0
52.3609,4.90943,2020,8,2.43,12,7,0,2,4.75,3,1.0,0,60.0
52.3423,4.90787,2018,11,0.0,0,5,0,2,0.0,2,1.0,0,175.0
52.3696,4.88748,2012,31,1.27,85,9,2,4,4.68,7,2.0,0,210.0
52.39246,4.9276,2016,30,0.23,7,8,1,2,5.0,2,1.5,0,80.0
52.39643,4.91024,2012,16,0.08,3,4,2,6,5.0,3,1.0,0,295.0
52.37616,4.87377,2014,20,0.39,19,3,1,2,5.0,4,1.0,0,125.0
52.38446,4.83814,2014,41,0.91,6,2,2,4,5.0,2,1.0,1,195.0
52.3741,4.87786,2015,27,1.03,73,4,1,2,4.74,2,1.0,1,111.0
52.41049,4.9066,2016,54,0.0,0,7,0,5,0.0,2,1.0,0,330.0
52.36541,4.8592,2014,10,4.14,12,4,21,2,4.75,1,0.0,0,68.0
52.35358,4.91353,2019,23,2.91,83,2,4,2,4.78,1,1.0,0,91.0
52.36264,4.92591,2013,34,2.27,76,7,2,2,4.97,1,1.5,1,85.0
52.3565,4.91704,2013,26,0.0,0,3,1,2,0.0,4,2.0,0,150.0
52.36947,4.85533,2012,29,0.21,6,10,1,4,4.83,3,1.0,0,160.0
52.35345,4.89037,2013,30,0.45,40,8,1,4,4.95,3,1.0,0,337.0
52.35028,5.01179,2014,49,0.11,2,2,1,4,4.5,3,2.5,0,250.0
52.34408,4.91061,2014,27,0.44,22,4,1,2,4.86,3,1.0,0,120.0
52.30388,4.96761,2021,13,1.38,3,2,2,2,4.67,1,1.5,0,60.0
52.38524,4.90446,2019,7,0.5,11,2,12,1,4.45,1,0.0,0,31.0
52.39366,4.91619,2013,34,0.21,5,11,0,4,5.0,2,2.0,0,149.0
52.38082,4.89447,2021,30,0.0,0,2,1,2,0.0,3,1.0,0,101.0
52.3418,4.91066,2012,54,5.25,523,9,1,3,4.7,5,1.5,0,89.0
52.36351,4.86178,2016,18,0.27,15,3,1,2,4.92,3,1.0,0,110.0
52.34788,4.8506,2012,18,0.14,14,4,1,4,5.0,2,2.0,0,295.0
52.36318,4.88425,2018,31,6.16,275,7,3,2,4.78,1,1.5,0,41.0
52.37525,4.84994,2017,28,0.17,4,8,2,2,5.0,4,1.0,0,45.0
52.36045,4.89855,2018,14,8.3,13,5,2,2,4.62,2,1.5,0,91.0
52.34546,4.79649,2012,37,0.25,16,4,1,1,5.0,30,1.5,1,45.0
52.36755,4.91315,2016,16,0.13,3,7,0,4,5.0,3,3.0,1,250.0
52.3807,4.87039,2018,43,1.82,6,6,0,4,4.5,2,1.5,0,75.0
52.354771,4.851624,2017,52,0.0,0,3,0,2,0.0,4,1.5,0,180.0
52.353,4.92922,2015,32,2.43,106,6,1,4,4.8,2,1.5,1,100.0
52.38541,4.95508,2016,62,0.0,0,4,5,4,0.0,2,1.5,0,177.0
52.33054,4.89016,2012,37,0.2,9,5,3,2,5.0,4,2.0,0,162.0
52.380547,4.877465,2013,18,0.16,1,5,0,4,5.0,3,1.5,0,250.0
52.3695,4.83711,2013,21,1.18,108,5,1,3,4.84,2,1.5,0,100.0
52.36893,4.86091,2019,11,0.75,13,7,0,6,4.92,2,1.0,0,130.0
52.35356,4.93903,2020,12,0.0,0,4,0,4,0.0,3,1.5,0,195.0
52.34811,4.90791,2015,13,0.0,0,2,2,2,0.0,1,1.0,0,150.0
52.37704,4.84606,2012,26,0.37,38,5,2,1,4.86,3,1.5,1,74.0
52.34805,4.87523,2013,11,0.27,25,7,2,4,4.14,30,2.0,0,300.0
52.37026,4.89931,2012,13,3.88,414,7,0,2,4.61,3,1.0,1,118.0
52.38132,4.80623,2019,29,1.9,50,7,1,4,4.62,1,1.5,0,29.0
52.3574,4.90295,2020,7,0.48,7,2,0,4,4.71,1,1.0,0,300.0
52.38134,4.91465,2013,13,0.0,0,8,2,3,0.0,7,1.0,0,120.0
52.37213,4.8495,2014,15,0.22,17,5,1,2,4.94,3,1.0,0,110.0
52.34375,4.85807,2015,19,0.79,52,8,1,2,4.87,3,1.0,1,100.0
52.3615,4.9003,2020,33,2.65,40,5,1,2,4.88,2,1.0,1,139.0
52.36422,4.91233,2014,26,0.21,16,4,1,2,4.93,5,1.0,0,175.0
52.37579,4.89751,2018,26,1.8,73,9,1,4,4.29,1,1.5,1,75.0
52.37278,4.86412,2019,31,0.4,1,5,0,2,5.0,26,1.0,0,98.0
52.36643,4.87467,2016,51,2.36,37,6,2,3,4.81,7,1.5,1,177.0
52.36862,4.86144,2019,11,1.07,18,7,0,3,4.61,2,1.0,0,80.0
52.37478,4.89985,2017,27,3.57,166,9,2,2,4.98,2,1.5,1,110.0
52.36919,4.86663,2016,27,0.76,38,6,1,4,4.87,2,1.5,0,220.0
52.41456,4.88751,2012,28,0.28,12,3,1,2,5.0,2,1.0,0,125.0
52.35325,4.93536,2020,49,0.65,2,2,0,4,5.0,2,2.0,0,199.0
52.3906,4.90755,2013,26,0.25,10,6,2,4,4.7,5,1.5,0,160.0
52.39443,4.94763,2018,11,1.52,49,7,1,2,4.65,2,1.0,0,55.0
52.36709,4.86575,2014,26,8.77,392,5,2,2,4.92,1,1.5,1,87.0
52.34959,4.89188,2019,42,1.15,13,4,1,2,5.0,3,1.5,0,150.0
52.36131,4.8519,2012,27,0.41,40,8,3,1,4.68,2,1.0,0,60.0
52.37113,4.8581,2017,45,1.65,27,3,1,2,4.85,2,1.0,0,181.0
52.35224,4.91568,2015,33,0.48,14,5,1,3,5.0,4,1.5,1,149.0
52.35248,4.82902,2014,35,1.8,3,5,1,4,5.0,2,1.5,0,160.0
52.36337,4.85637,2017,23,1.55,70,8,3,2,4.41,2,1.0,0,78.0
52.35737,4.98163,2014,31,0.17,12,4,2,4,4.75,3,2.0,0,280.0
52.39362,4.91033,2017,22,0.29,12,4,2,6,4.82,2,1.0,0,453.0
52.3616,4.86119,2015,13,0.03,2,3,1,4,3.5,1,1.5,0,325.0
52.36147,4.85086,2016,25,0.29,12,1,0,2,5.0,2,1.5,0,140.0
52.35587,4.88186,2019,37,0.91,9,5,5,2,5.0,1,1.0,0,138.0
52.37535,4.83676,2017,28,0.34,13,3,2,2,4.92,3,1.5,0,95.0
52.36524,4.86642,2018,40,2.45,4,2,0,2,5.0,3,1.5,0,150.0
52.40635,4.99133,2012,15,0.41,23,8,13,4,4.7,2,1.0,0,79.0
52.3641,4.83262,2014,36,0.59,21,4,1,4,4.86,3,2.0,0,108.0
52.3515,4.89656,2011,34,0.18,22,6,0,4,4.86,6,1.5,1,200.0
52.37655,4.89249,2013,33,1.62,119,5,7,4,4.56,1,1.0,0,96.0
52.33837,4.8464,2014,48,0.38,23,4,1,6,4.91,2,1.5,0,400.0
52.37799,4.88549,2018,24,4.62,6,2,9,4,4.33,2,1.5,0,205.0
52.36986,4.92258,2011,11,0.3,25,4,1,2,4.6,2,1.0,0,120.0
52.41273,4.90667,2019,20,0.18,5,1,0,4,4.8,2,1.5,0,120.0
52.34008,4.85133,2013,11,0.06,5,3,1,4,4.8,7,1.0,0,300.0
52.34127,4.91508,2014,15,1.45,45,8,1,3,4.82,2,1.0,0,129.0
52.35009,4.88875,2014,40,1.06,54,8,1,2,5.0,28,1.5,1,175.0
52.34117,4.9084,2012,18,0.3,5,5,2,4,4.6,2,1.0,0,125.0
52.34911,4.91461,2016,21,0.71,15,5,0,4,5.0,7,1.5,1,187.0
52.3596,4.92656,2017,26,0.54,26,8,1,4,4.71,2,1.0,0,159.0
52.41943,4.87126,2017,44,1.12,60,7,7,7,4.87,1,1.5,1,146.0
52.36861,4.8553,2014,35,0.55,12,2,1,4,4.92,3,1.5,0,275.0
52.35367,4.87141,2016,23,0.23,16,7,1,5,4.94,5,1.5,0,350.0
52.37661,4.87314,2016,41,0.73,3,4,1,2,5.0,2,1.0,0,129.0
52.3709,4.85301,2013,33,0.82,76,5,1,2,4.89,3,1.0,0,130.0
52.349827,4.91346,2016,29,0.7,48,5,1,2,5.0,3,1.0,0,149.0
52.36004,4.85431,2012,15,0.05,2,3,1,3,5.0,1,1.5,0,95.0
52.37579,4.83748,2014,24,0.49,14,6,2,2,4.86,2,1.5,1,98.0
52.37496,4.87835,2013,22,0.52,25,4,3,4,4.64,3,1.0,0,600.0
52.37579,4.93414,2012,13,0.44,35,4,3,2,4.76,2,1.0,0,96.0
52.37141,4.90353,2013,14,0.7,56,3,1,4,4.43,3,1.0,0,135.0
52.3775,4.88771,2017,30,0.31,14,6,4,2,5.0,7,1.5,1,250.0
52.36779,4.87177,2014,32,1.11,82,4,1,4,4.84,2,1.5,0,200.0
52.36526,4.87967,2018,25,1.38,25,7,22,2,4.32,1,1.0,0,50.0
52.34812,4.84891,2014,41,0.87,45,5,1,2,4.91,2,1.0,0,99.0
52.37426,4.89926,2016,22,0.5,27,8,16,2,4.92,1,1.5,1,153.0
52.36412,4.98524,2015,69,0.35,18,5,2,3,4.89,1,1.5,0,107.0
52.37314,4.85994,2012,31,0.2,13,5,1,4,4.77,4,1.5,0,115.0
52.36944,4.88104,2019,18,0.13,3,6,3,2,4.67,1,1.0,0,500.0
52.37531,4.88068,2014,29,0.73,32,10,1,2,4.97,3,1.5,1,135.0
52.37252,4.85834,2014,54,0.48,29,4,1,4,4.86,3,1.5,1,225.0
52.35149,4.92265,2013,28,0.54,43,6,1,4,4.71,3,2.5,0,140.0
52.36755,4.86967,2015,13,0.18,13,4,1,4,4.85,3,2.0,0,245.0
52.34723,4.86015,2013,49,0.34,25,4,1,3,4.92,3,1.5,0,135.0
52.36108,4.90585,2014,30,0.72,62,5,1,2,4.79,1,1.5,0,328.0
52.36997,4.867,2016,32,0.46,24,4,1,2,4.88,2,1.5,1,150.0
52.37841,4.88983,2021,13,1.94,16,2,6,2,4.63,1,1.0,0,111.0
52.36302,4.90532,2012,12,0.12,10,3,0,4,5.0,5,1.0,0,225.0
52.36553,4.88664,2014,33,0.08,2,9,3,2,5.0,1,1.0,0,546.0
52.34389,4.86687,2010,41,0.49,31,9,1,4,4.94,4,1.0,0,246.0
52.37558,4.92384,2020,11,0.0,0,7,1,16,0.0,2,4.0,0,500.0
52.36204,4.92375,2014,41,1.06,92,7,2,2,4.8,5,1.0,1,55.0
52.3607,4.85991,2013,44,0.44,46,6,1,4,4.72,4,1.0,0,150.0
52.3881,4.91438,2019,7,0.0,0,2,0,2,0.0,1,1.0,0,73.0
52.35297,4.86058,2016,28,0.32,17,5,1,4,4.4,2,1.0,0,230.0
52.37799,4.88663,2018,43,0.52,2,5,1,2,4.0,2,1.5,0,250.0
52.3671,4.83925,2017,31,1.13,6,6,1,2,4.83,1,1.0,0,99.0
52.39238,4.92899,2013,33,0.43,38,5,1,4,4.8,3,3.5,0,299.0
52.37532,4.87341,2016,24,0.21,5,6,0,2,5.0,4,1.0,0,220.0
52.35669,4.89979,2014,24,0.71,11,4,32,4,3.82,5,2.0,0,140.0
52.35222,4.86182,2015,37,0.61,44,8,1,6,4.86,3,2.0,0,345.0
52.33696,4.93201,2017,18,0.2,2,4,0,12,5.0,2,2.0,0,432.0
52.40325,4.91954,2012,27,0.35,27,4,1,4,4.89,3,1.0,0,150.0
52.35444,4.89672,2013,12,0.09,5,3,0,4,4.8,7,1.5,0,225.0
52.34061,4.90369,2013,6,0.46,32,4,1,3,4.81,2,1.0,0,150.0
52.36568,4.85883,2014,7,0.64,58,4,21,2,4.55,1,0.0,0,63.0
52.37437,4.84651,2014,21,0.27,15,7,1,4,4.86,30,1.0,0,190.0
52.37046,4.91136,2015,43,2.13,147,8,1,2,4.89,5,1.0,1,147.0
52.36431,4.89932,2014,37,2.11,150,3,3,1,4.73,2,1.5,1,41.0
52.42379,4.88851,2013,46,3.23,330,9,3,3,4.57,3,1.5,1,74.0
52.40033,4.91447,2013,20,0.3,13,4,2,4,4.77,6,1.5,0,123.0
52.40365,4.91532,2012,17,0.94,1,9,0,5,4.0,2,1.5,0,229.0
52.36217,4.89395,2016,21,2.26,11,6,7,2,5.0,2,1.0,1,150.0
52.38211,4.85255,2013,25,0.28,8,4,1,2,4.88,2,1.0,1,115.0
52.3624,4.8935,2014,51,0.47,36,7,1,4,4.69,3,2.0,0,185.0
52.37599,4.94638,2016,17,1.19,76,3,1,5,4.85,2,1.0,1,175.0
52.35206,4.85149,2012,52,0.59,60,5,1,4,4.61,2,1.0,0,130.0
52.37189,4.87735,2017,24,2.18,100,8,2,2,4.92,3,1.0,1,95.0
52.37778,4.84349,2015,34,0.07,1,3,0,4,5.0,2,1.5,0,144.0
52.38611,4.89157,2015,16,3.31,171,7,1,2,4.94,2,1.0,1,115.0
52.37888,4.89217,2020,36,0.44,3,2,0,2,5.0,1,1.0,1,181.0
52.34638,5.00685,2012,32,0.33,15,6,1,2,4.79,2,1.0,0,80.0
52.35293,5.00111,2014,21,0.36,19,4,1,3,4.89,7,1.0,1,134.0
52.39366,4.88145,2020,17,0.23,4,2,0,3,5.0,3,2.0,0,329.0
52.41016,4.96369,2012,19,3.53,377,8,13,2,4.85,1,1.0,0,87.0
52.36865,4.87174,2012,21,0.1,6,6,1,4,4.8,4,1.0,0,250.0
52.3625,4.92492,2013,27,0.56,20,4,1,2,4.85,3,1.0,0,120.0
52.35373,4.85667,2018,23,0.07,2,8,1,4,4.5,4,1.5,0,175.0
52.37,4.95127,2012,44,0.07,7,5,1,4,4.71,5,2.5,0,145.0
52.39559,4.91541,2020,28,0.0,0,6,0,4,0.0,10,1.0,0,129.0
52.3738,4.89083,2014,27,0.19,17,2,1,2,4.31,2,1.0,0,101.0
52.34705,4.79025,2016,17,0.4,23,3,1,4,4.83,5,1.0,0,156.0
52.35897,4.8602,2012,23,0.3,13,3,0,2,4.92,3,1.0,0,171.0
52.35482,4.87438,2012,36,1.51,131,6,2,3,4.95,3,1.0,1,131.0
52.36384,4.90131,2018,13,1.99,79,5,2,2,4.9,3,1.0,0,75.0
52.38364,4.87767,2015,32,1.33,58,9,1,3,4.78,2,1.0,0,147.0
52.36238,4.85517,2016,25,1.04,51,8,1,4,4.55,7,1.0,0,152.0
52.36948,4.86822,2014,29,0.46,37,8,1,4,4.92,3,1.5,0,180.0
52.35906,4.87881,2020,17,7.41,40,2,4,2,4.53,2,1.0,0,74.0
52.37598,4.8931,2013,21,2.91,260,10,2,3,4.95,2,1.0,1,158.0
52.37153,4.88022,2016,21,0.48,21,5,1,4,4.81,3,1.5,0,160.0
52.39139,4.9548,2013,25,0.2,8,5,1,4,5.0,3,2.5,0,140.0
52.36369,4.93272,2017,16,0.56,20,8,1,3,4.9,2,1.0,0,110.0
52.36508,4.86438,2012,38,0.63,58,9,0,2,4.83,2,1.0,1,87.0
52.36438,4.88142,2018,27,1.43,32,7,22,2,4.72,1,1.0,0,50.0
52.35228,4.92039,2017,22,4.24,218,9,1,3,4.85,3,1.0,1,72.0
52.36991,4.88717,2013,34,1.5,6,4,1,2,5.0,3,1.5,0,135.0
52.29125,4.97029,2015,16,0.75,3,3,0,4,5.0,4,1.0,0,115.0
52.29798,4.99763,2015,19,0.33,15,8,1,4,4.93,2,1.0,0,175.0
52.36339,4.93945,2016,3,1.0,1,5,0,2,5.0,3,1.5,0,75.0
52.38343,4.87589,2016,23,0.0,0,3,0,4,0.0,5,1.0,0,240.0
52.38165,4.8565,2016,30,7.0,7,7,1,4,4.86,1,1.0,0,160.0
52.36951,4.87445,2016,15,0.41,2,1,2,2,5.0,3,1.0,0,130.0
52.38224,4.88347,2014,44,3.8,315,8,1,4,4.88,2,1.0,1,85.0
52.35667,4.8987,2012,44,0.42,7,8,9,2,4.71,7,1.5,0,275.0
52.37992,4.87745,2013,10,0.01,1,5,1,3,5.0,15,1.5,0,78.0
52.36433,4.9373,2014,27,0.2,7,5,1,2,4.71,4,1.5,0,150.0
52.35973,4.87784,2012,66,0.26,1,4,0,6,5.0,7,5.0,0,325.0
52.34497,4.86919,2013,50,0.19,1,4,2,2,2.0,5,1.5,0,90.0
52.38339,4.85811,2014,47,0.6,24,4,1,4,4.96,2,1.5,0,186.0
52.38455,4.85246,2016,20,0.07,3,5,1,2,5.0,5,1.0,0,106.0
52.36434,4.93607,2014,32,0.27,15,8,1,4,4.93,2,1.5,0,214.0
52.34948,4.89065,2012,58,0.62,45,8,0,4,4.91,4,1.5,0,190.0
52.35928,4.89472,2014,21,5.0,6,8,3,2,5.0,3,1.0,0,129.0
52.34482,4.89235,2015,29,0.18,7,3,1,4,5.0,3,1.0,0,350.0
52.38069,4.86826,2013,59,1.39,127,10,1,3,4.75,4,1.0,0,91.0
52.38772,4.8893,2018,32,3.27,54,2,7,2,4.33,1,1.0,0,200.0
52.35218870196775,4.915874053498748,2014,34,0.0,0,6,0,2,0.0,15,1.5,0,150.0
52.34993,4.87882,2014,27,0.46,31,5,1,4,4.84,3,1.0,0,250.0
52.35951,4.98009,2013,16,0.25,7,5,0,4,4.57,2,1.0,0,80.0
52.36991,4.90248,2017,35,1.22,3,8,5,2,4.33,3,1.5,0,153.0
52.381996,4.888583,2012,22,5.35,412,8,2,2,4.84,1,1.0,1,76.0
52.35779,4.92097,2013,36,0.08,6,5,2,4,5.0,5,1.5,0,220.0
52.37436,4.8801,2019,20,1.92,62,7,2,2,4.92,1,1.0,0,152.0
52.36385,4.93694,2012,52,1.8,3,10,1,2,5.0,3,1.0,0,125.0
52.38617,4.88539,2012,45,2.08,142,8,1,4,4.98,3,1.0,1,150.0
52.38138,4.8711,2015,28,0.37,9,5,0,2,4.78,3,1.5,0,120.0
52.32272700111568,4.936015100991516,2019,19,0.0,0,5,2,8,0.0,1,3.0,0,800.0
52.36003,4.9345,2016,17,0.59,13,5,1,2,5.0,1,1.0,1,140.0
52.36263,4.89281,2016,12,0.59,15,6,0,4,4.8,1,1.0,0,229.0
52.32558,4.81921,2019,58,1.57,50,2,1,2,4.82,2,1.0,0,125.0
52.36744,4.88839,2011,19,2.78,24,4,1,3,4.79,1,1.0,1,148.0
52.35947,4.91448,2013,16,1.15,6,6,1,2,5.0,3,1.5,1,123.0
52.3929,4.93247,2014,25,6.32,8,10,0,6,4.88,1,1.0,0,238.0
52.39576,4.91687,2011,17,0.1,3,5,1,3,5.0,3,1.0,0,200.0
52.37371,4.85177,2016,25,3.36,176,3,3,1,4.88,2,1.5,1,47.0
52.38727,4.95789,2016,35,0.26,14,6,1,4,4.93,4,1.5,0,139.0
52.32674,4.87778,2016,5,0.0,0,7,0,2,0.0,3,1.5,0,148.0
52.34593,4.90871,2014,11,0.0,0,4,1,2,0.0,25,1.0,0,140.0
52.38333,4.90684,2015,40,0.22,8,4,0,16,4.63,2,1.5,0,587.0
52.37168,4.88168,2016,49,0.64,39,7,1,2,4.95,3,1.0,0,300.0
52.35229,4.89105,2013,24,0.68,44,6,1,2,4.75,2,1.5,0,250.0
52.3331,4.903,2014,29,6.19,547,8,1,2,4.78,5,1.5,1,51.0
52.3673,4.85959,2014,7,4.13,15,4,21,2,4.47,1,0.0,0,66.0
52.36635,4.88347,2019,38,3.43,4,6,1,4,5.0,2,1.0,0,212.0
52.36124,4.90341,2017,50,0.0,0,2,1,4,0.0,3,1.0,0,228.0
52.37181,4.90976,2020,24,1.0,1,7,1,4,5.0,1,1.5,0,223.0
52.36104,4.87492,2014,14,0.0,0,4,1,6,0.0,7,2.0,0,397.0
52.36176,4.85603,2015,43,0.81,1,2,0,3,5.0,7,1.0,0,185.0
52.3793,4.87599,2015,24,1.22,10,8,0,4,4.6,3,1.0,0,118.0
52.34255,4.84597,2013,14,0.33,15,3,13,2,4.53,2,1.0,0,85.0
52.34917,4.89479,2013,24,0.12,6,4,2,4,4.83,3,1.5,0,150.0
52.35407,4.88158,2019,35,0.12,3,5,5,4,2.67,1,1.0,0,191.0
52.37647,4.8807,2013,28,1.45,38,7,0,4,4.97,2,1.5,1,350.0
52.37831,4.86941,2013,17,0.83,29,6,1,3,4.7,3,1.0,0,128.0
52.35885,4.92082,2017,26,0.08,4,3,1,4,5.0,5,2.0,0,130.0
52.36031,4.86031,2015,30,0.66,16,8,0,3,4.94,1,1.5,1,170.0
52.3547,4.89787,2019,10,0.96,16,2,8,4,4.63,1,1.0,0,135.0
52.37787,4.85575,2014,25,0.15,4,8,0,4,5.0,20,1.0,0,100.0
52.37414,4.89404,2013,28,3.83,170,10,2,4,4.94,2,1.0,1,150.0
52.35997,4.91293,2013,22,0.53,43,3,1,4,4.88,4,1.5,0,167.0
52.39301,4.87294,2013,24,0.45,29,4,1,2,4.69,2,1.0,0,131.0
52.37685,4.84859,2015,26,0.84,37,8,1,2,4.72,2,1.0,0,120.0
52.35696,4.8878,2017,21,27.93,54,8,0,2,4.87,2,1.0,0,160.0
52.37169,4.85677,2016,37,0.43,24,3,1,2,4.75,2,1.5,0,119.0
